概率,半径 [mm],直径 [mm],中间 x [体素],中间 y [体素],中间 z [体素],体积 [mm³],体素,表面 [mm²],分类,间隙 [mm],紧密度,球度,位置 x [体素],位置 y [体素],位置 z [体素],投影尺寸 x [mm],投影尺寸 y [mm],投影尺寸 z [mm],主分量分析（PCA）偏差 1 [mm],主分量分析（PCA）偏差 2 [mm],主分量分析（PCA）偏差 3 [mm],PCA 最大偏差比例 [%],PCA 最小偏差比例 [%],最小灰度值,最大灰度值,平均灰度值,灰度值偏差,标签,最小厚度 [mm],最大厚度 [mm],平均厚度 [mm],相对直径,切面 [mm²],最小边距离（内部） [mm],最小边距离（外部） [mm],最大边距离（剪切） [mm],投影区域（yz 平面） [mm²],投影区域（xz 平面） [mm²],投影区域（xy 平面） [mm²],说明,图像,聚焦图像,捕获,公差状态
161.37,2.059,4.119,1030,1038,62,4.78,2821,26.02,,0.144,0.13,0.53,1032,1039,62,4.054,2.623,1.192,0.857,0.561,0.267,41.638,12.947,10239,28247,21801,5075,5566,,,,,,,,,2.18,3.21,7.29,,关,关,0,无公差
159.49,2.154,4.308,306,400,408,14.39,8489,47.66,,-0.003,0.34,0.60,303,404,410,3.577,2.862,3.696,0.825,0.725,0.561,38.304,26.021,12105,28251,20648,5046,2921,,,,,,,,,7.52,8.77,7.18,,关,关,0,无公差
159.31,1.442,2.884,370,1082,423,2.22,1307,15.47,,0.406,0.18,0.53,369,1083,423,2.862,2.266,0.835,0.588,0.483,0.191,40.749,13.265,10709,28250,21115,5043,9853,,,,,,,,,1.35,1.61,4.79,,关,关,0,无公差
159.09,1.397,2.794,166,941,408,8.88,5235,31.45,,0.182,0.78,0.66,166,940,409,2.623,2.623,2.623,0.602,0.586,0.542,43.073,38.775,11454,28251,19685,5039,174,,,,,,,,,5.16,5.29,5.27,,关,关,0,无公差
157.19,5.164,10.328,691,1227,414,29.16,17202,116.84,,-2.026,0.05,0.39,696,1203,420,6.916,8.347,3.458,2.648,0.780,0.606,51.279,11.733,10749,28251,22312,5009,1088,,,,,,,,,16.02,14.05,20.21,,关,关,0,无公差
156.15,1.648,3.296,518,1229,413,10.47,6176,35.18,,0.959,0.56,0.66,514,1230,411,3.339,2.504,2.623,0.719,0.596,0.528,43.656,32.043,12279,28249,21062,4993,5329,,,,,,,,,5.05,6.43,6.22,,关,关,0,无公差
154.92,2.058,4.117,397,1139,423,3.30,1945,19.62,,0.211,0.09,0.55,400,1142,423,4.054,2.087,1.192,0.758,0.409,0.283,36.820,13.727,10784,28249,21637,4973,12000,,,,,,,,,1.80,2.77,5.25,,关,关,0,无公差
154.89,3.683,7.367,252,379,62,12.59,7424,58.75,,-1.818,0.06,0.45,250,377,63,5.247,6.558,2.146,1.540,0.573,0.405,41.807,10.994,11421,28251,22132,4972,1747,,,,,,,,,7.98,6.64,13.55,,关,关,0,无公差
154.25,1.182,2.364,995,288,63,2.03,1200,12.37,,0.778,0.29,0.63,994,288,62,2.385,1.789,1.073,0.502,0.385,0.247,42.446,20.913,10942,28220,21255,4962,1028,,,,,,,,,1.51,1.69,3.03,,关,关,0,无公差
154.09,6.486,12.973,536,902,423,52.57,31006,195.61,,-15.083,0.05,0.35,536,889,415,12.401,7.989,3.219,2.551,1.173,0.729,39.323,11.244,8195,28251,21377,6181,11871,,,,,,,,,17.05,22.79,43.07,,关,关,0,无公差
153.52,2.971,5.942,384,419,416,11.32,6675,48.34,,-2.201,0.10,0.50,383,423,418,5.724,3.577,2.027,1.188,0.589,0.466,39.993,15.699,11928,28248,22195,4950,2967,,,,,,,,,4.68,8.33,9.78,,关,关,0,无公差
151.80,2.916,5.832,1292,703,422,13.52,7975,47.66,,-0.369,0.13,0.58,1284,703,422,3.100,5.724,1.908,1.121,0.691,0.446,38.454,15.307,10936,28251,19172,4923,8758,,,,,,,,,7.09,4.52,11.64,,关,关,0,无公差
148.51,2.343,4.686,308,691,423,6.79,4007,33.27,,0.132,0.13,0.52,304,683,423,4.531,3.219,2.027,0.871,0.603,0.425,37.165,18.131,10971,28251,21940,4869,8091,,,,,,,,,4.68,4.32,7.35,,关,关,0,无公差
148.41,2.770,5.541,891,893,96,31.92,18825,83.23,,-6.259,0.36,0.58,888,891,92,5.008,3.816,5.008,1.048,0.917,0.748,37.834,27.009,12243,28251,20512,4867,12099,,,,,,,,,12.09,15.60,13.22,,关,关,0,无公差
145.85,4.098,8.197,1186,567,394,46.15,27224,132.43,,-2.969,0.16,0.47,1192,572,404,7.393,5.843,5.008,1.782,0.932,0.850,43.484,20.730,11040,28251,20384,4825,5289,,,,,,,,,17.51,20.94,22.66,,关,关,0,无公差
145.47,1.577,3.155,221,794,413,8.30,4898,31.08,,0.500,0.51,0.64,219,796,416,2.862,2.504,2.862,0.597,0.591,0.515,37.848,32.664,12015,28249,20581,4819,10681,,,,,,,,,5.00,5.43,5.10,,关,关,0,无公差
145.38,2.824,5.647,486,684,422,8.99,5301,40.35,,-16.175,0.10,0.52,483,674,418,5.723,2.981,1.908,1.068,0.631,0.416,37.837,14.728,12796,28250,22773,4817,8043,,,,,,,,,4.34,6.95,7.89,,关,关,0,无公差
143.33,4.260,8.519,161,587,120,96.63,56995,195.27,,-1.106,0.30,0.52,163,580,115,7.154,7.154,5.962,1.668,1.391,1.059,39.159,24.854,9978,28251,18504,4783,5646,,,,,,,,,29.52,29.40,31.00,,关,关,0,无公差
143.00,3.446,6.892,656,766,412,22.62,13343,84.14,,-33.463,0.13,0.46,654,759,413,6.677,4.054,2.862,1.314,0.762,0.638,38.123,18.515,12084,28251,23011,4778,10051,,,,,,,,,9.00,13.38,15.30,,关,关,0,无公差
143.00,2.135,4.269,591,1166,423,4.65,2741,24.03,,-0.610,0.11,0.56,589,1166,423,3.577,3.160,1.312,0.761,0.508,0.306,35.660,14.325,11522,28242,22322,4778,11999,,,,,,,,,2.52,3.16,6.35,,关,关,0,无公差
140.30,2.957,5.914,615,499,100,29.87,17620,88.41,,-24.473,0.28,0.53,618,497,93,5.485,4.173,5.485,1.069,0.985,0.698,36.139,23.619,13004,28251,20818,4732,3725,,,,,,,,,13.09,15.37,14.18,,关,关,0,无公差
139.48,1.371,2.742,327,244,422,3.30,1944,16.58,,2.102,0.31,0.65,328,242,422,2.623,1.908,1.312,0.594,0.394,0.325,43.314,23.712,12497,28249,21714,4719,989,,,,,,,,,2.08,2.73,3.58,,关,关,0,无公差
139.24,6.328,12.656,852,367,398,121.52,71680,310.49,,-4.277,0.11,0.38,847,357,413,12.401,7.274,6.081,2.232,1.294,1.119,35.273,17.687,9505,28251,20414,5252,2029,,,,,,,,,28.83,43.22,47.26,,关,关,0,无公差
139.21,2.647,5.293,1015,1113,84,19.82,11688,66.17,,-0.497,0.26,0.54,1021,1122,88,4.531,3.577,3.816,1.025,0.821,0.581,38.737,21.962,12061,28251,21411,4714,10109,,,,,,,,,8.88,12.01,10.78,,关,关,0,无公差
138.31,3.720,7.440,962,606,67,18.96,11183,81.67,,-4.420,0.09,0.42,956,610,69,7.154,5.247,2.146,1.552,1.073,0.449,41.732,12.067,11818,28251,22174,4699,6137,,,,,,,,,8.59,10.28,17.97,,关,关,0,无公差
138.20,3.961,7.921,189,489,383,71.95,42439,152.56,,-2.037,0.28,0.55,192,494,402,6.200,6.797,6.439,1.399,1.204,1.028,35.316,25.959,11616,28251,18739,4697,3925,,,,,,,,,25.75,22.56,24.46,,关,关,0,无公差
137.09,3.319,6.638,479,1030,392,50.36,29707,108.03,,-0.734,0.33,0.61,481,1037,391,6.677,4.293,4.770,1.287,0.985,0.870,38.789,26.214,12845,28249,19540,4678,6678,,,,,,,,,14.29,19.32,19.74,,关,关,0,无公差
136.88,2.207,4.413,604,240,94,11.11,6555,41.32,,-0.563,0.25,0.58,599,241,94,3.816,3.219,2.623,1.042,0.511,0.464,47.233,21.049,11146,28251,21112,4674,546,,,,,,,,,6.28,7.12,7.29,,关,关,0,无公差
135.92,1.824,3.648,366,755,414,9.29,5479,34.72,,-1.107,0.37,0.62,367,758,416,3.339,2.504,2.623,0.702,0.611,0.492,38.481,26.965,13553,28247,21945,4658,10058,,,,,,,,,4.82,6.50,5.74,,关,关,0,无公差
135.79,2.409,4.819,631,1006,68,9.62,5677,39.47,,-9.722,0.16,0.55,628,1003,67,4.770,2.504,2.027,0.903,0.559,0.454,37.461,18.842,12308,28251,22511,4656,3783,,,,,,,,,4.19,6.61,7.89,,关,关,0,无公差
135.26,3.189,6.377,414,200,150,41.09,24235,102.91,,-1.458,0.30,0.56,418,194,148,5.962,4.412,5.008,1.167,0.992,0.836,36.584,26.229,12498,28251,19826,4647,360,,,,,,,,,14.72,18.37,16.04,,关,关,0,无公差
134.59,1.984,3.967,468,1059,417,5.95,3511,27.64,,-0.536,0.18,0.57,466,1060,420,3.577,2.862,1.789,0.841,0.451,0.383,42.415,19.321,12652,28251,22535,4635,8458,,,,,,,,,3.61,4.46,5.69,,关,关,0,无公差
134.24,5.050,10.101,957,789,110,100.70,59398,207.67,,-6.710,0.19,0.50,949,784,122,7.631,5.247,8.466,1.951,1.206,1.073,38.637,21.238,12192,28251,19451,4629,9710,,,,,,,,,30.87,38.29,28.24,,关,关,0,无公差
133.26,4.958,9.916,419,216,77,15.80,9322,78.68,,-6.330,0.03,0.39,430,204,82,7.870,6.081,3.935,2.134,0.557,0.527,43.046,10.634,11237,28251,23200,4629,317,,,,,,,,,10.96,13.39,12.73,,关,关,0,无公差
132.81,2.427,4.853,913,366,107,33.10,19522,77.40,,0.641,0.55,0.64,913,362,112,4.531,3.816,3.935,1.000,0.881,0.814,41.219,33.529,12628,28250,19265,4604,1823,,,,,,,,,11.49,13.76,13.22,,关,关,0,无公差
131.76,2.748,5.497,544,174,110,26.24,15478,73.96,,-1.742,0.30,0.58,546,168,116,4.293,4.531,4.531,0.983,0.905,0.662,35.758,24.071,12935,28251,20928,4586,138,,,,,,,,,11.66,12.73,11.91,,关,关,0,无公差
131.31,2.256,4.512,380,808,411,8.87,5230,39.16,,-1.498,0.18,0.53,383,804,411,4.054,2.743,2.862,0.835,0.583,0.497,37.003,22.014,13835,28251,22576,4578,10705,,,,,,,,,5.63,7.09,5.93,,关,关,0,无公差
131.10,1.394,2.789,1242,779,84,7.52,4437,28.15,,0.347,0.66,0.66,1243,779,82,2.385,2.385,2.504,0.593,0.528,0.517,42.541,37.057,13264,28251,20886,4575,9680,,,,,,,,,4.56,4.72,4.79,,关,关,0,无公差
130.94,3.956,7.912,826,976,100,75.00,44236,164.42,,-6.243,0.29,0.52,837,971,111,7.393,7.154,5.008,1.512,1.252,1.027,38.222,25.973,11663,28251,19911,4572,1741,,,,,,,,,22.17,24.36,29.39,,关,关,0,无公差
130.08,2.077,4.155,696,653,64,3.38,1996,20.79,,-33.347,0.09,0.52,695,651,62,3.577,2.743,1.073,0.893,0.394,0.236,42.975,11.355,12180,28250,22748,4557,6792,,,,,,,,,2.13,2.67,5.52,,关,关,0,无公差
129.81,1.473,2.945,1275,622,348,7.58,4472,29.29,,-0.373,0.57,0.64,1273,621,348,2.146,2.862,2.623,0.618,0.559,0.477,41.973,32.363,12300,28244,21127,4552,6434,,,,,,,,,5.35,4.45,4.72,,关,关,0,无公差
129.73,2.907,5.815,666,264,84,9.94,5864,43.51,,-1.485,0.10,0.51,659,272,80,4.293,4.412,2.266,1.335,0.448,0.403,45.906,13.874,11795,28250,22225,4551,772,,,,,,,,,6.60,7.02,7.93,,关,关,0,无公差
129.34,2.624,5.247,799,1302,140,18.51,10921,57.58,,-0.140,0.24,0.59,809,1301,141,5.247,3.219,2.981,0.960,0.732,0.627,36.581,23.910,12110,28249,21300,4544,10981,,,,,,,,,7.66,10.11,10.47,,关,关,0,无公差
128.89,2.632,5.264,531,139,169,31.04,18311,76.35,,0.035,0.41,0.63,529,137,166,4.770,3.816,3.935,1.049,0.848,0.758,39.840,28.814,11358,28248,19313,4536,48,,,,,,,,,11.25,13.93,12.88,,关,关,0,无公差
