概率,半径 [mm],直径 [mm],中间 x [体素],中间 y [体素],中间 z [体素],体积 [mm³],体素,表面 [mm²],分类,间隙 [mm],紧密度,球度,位置 x [体素],位置 y [体素],位置 z [体素],投影尺寸 x [mm],投影尺寸 y [mm],投影尺寸 z [mm],主分量分析（PCA）偏差 1 [mm],主分量分析（PCA）偏差 2 [mm],主分量分析（PCA）偏差 3 [mm],PCA 最大偏差比例 [%],PCA 最小偏差比例 [%],最小灰度值,最大灰度值,平均灰度值,灰度值偏差,标签,最小厚度 [mm],最大厚度 [mm],平均厚度 [mm],相对直径,切面 [mm²],最小边距离（内部） [mm],最小边距离（外部） [mm],最大边距离（剪切） [mm],投影区域（yz 平面） [mm²],投影区域（xz 平面） [mm²],投影区域（xy 平面） [mm²],说明,图像,聚焦图像,捕获,公差状态
14.37,0.622,1.244,133,520,113,0.41,244,4.12,,0.839,0.41,0.65,135,519,112,0.954,1.192,0.835,0.262,0.191,0.183,42.157,29.473,23159,28212,25921,1515,4353,,,,,,,,,0.73,0.55,0.78,,关,关,0,无公差
14.36,0.687,1.375,692,124,226,0.54,320,5.23,,1.729,0.40,0.61,692,124,225,1.192,1.073,1.073,0.285,0.227,0.194,41.400,28.273,22700,28242,26157,1514,61,,,,,,,,,0.85,0.94,0.92,,关,关,0,无公差
14.35,0.439,0.879,710,285,286,0.18,107,2.39,,1.743,0.51,0.65,710,285,285,0.715,0.835,0.715,0.185,0.164,0.134,42.099,30.616,22541,28192,26362,1514,1208,,,,,,,,,0.44,0.43,0.44,,关,关,0,无公差
14.34,0.546,1.093,750,996,166,0.29,169,3.30,,-5.392,0.42,0.64,750,996,167,0.954,0.715,0.954,0.235,0.172,0.161,42.999,29.508,22859,28198,26391,1513,4464,,,,,,,,,0.60,0.63,0.51,,关,关,0,无公差
14.33,0.876,1.752,895,318,422,0.43,256,5.06,,0.041,0.15,0.55,898,318,423,1.669,1.073,0.596,0.400,0.222,0.127,45.683,14.550,22725,28222,26669,1513,1705,,,,,,,,,0.48,0.75,1.24,,关,关,0,无公差
14.32,0.536,1.072,964,349,289,0.36,215,3.81,,0.914,0.56,0.65,965,349,288,0.954,0.954,0.954,0.221,0.203,0.184,41.172,34.249,22906,28223,25823,1512,1948,,,,,,,,,0.63,0.67,0.61,,关,关,0,无公差
14.31,0.529,1.057,553,394,239,0.29,170,3.36,,-6.422,0.47,0.63,553,395,239,0.954,0.835,0.835,0.221,0.199,0.150,41.822,28.341,22466,28228,26170,1511,2774,,,,,,,,,0.57,0.55,0.67,,关,关,0,无公差
14.30,0.609,1.218,1226,871,327,0.47,277,4.55,,0.400,0.50,0.64,1226,870,327,0.954,1.073,0.954,0.270,0.214,0.182,44.304,29.859,21868,28216,26016,1511,11722,,,,,,,,,0.85,0.65,0.77,,关,关,0,无公差
14.30,0.637,1.273,162,717,207,0.62,364,5.43,,0.367,0.57,0.65,162,718,208,0.954,1.192,1.073,0.271,0.237,0.214,42.502,33.675,22341,28250,25963,1511,8483,,,,,,,,,0.95,0.82,0.94,,关,关,0,无公差
14.30,0.588,1.177,439,285,332,0.42,248,4.18,,0.602,0.49,0.65,439,284,331,0.954,1.073,1.073,0.249,0.217,0.174,42.299,29.531,22447,28241,25992,1511,1239,,,,,,,,,0.82,0.70,0.71,,关,关,0,无公差
14.29,0.736,1.472,1158,630,242,1.04,614,7.59,,1.943,0.62,0.65,1158,632,240,1.431,1.431,1.312,0.312,0.282,0.259,42.340,35.224,22362,28248,25542,1511,7041,,,,,,,,,1.32,1.21,1.31,,关,关,0,无公差
14.29,0.575,1.150,1146,742,72,0.36,213,3.90,,1.803,0.45,0.63,1147,743,72,0.954,0.954,0.954,0.245,0.187,0.178,42.655,31.006,22724,28247,26219,1510,8973,,,,,,,,,0.63,0.65,0.67,,关,关,0,无公差
14.27,0.513,1.026,288,793,192,0.29,169,3.38,,-4.947,0.51,0.62,287,795,192,0.954,0.835,0.954,0.225,0.191,0.155,43.776,30.167,22667,28191,26220,1509,10488,,,,,,,,,0.58,0.60,0.54,,关,关,0,无公差
14.26,0.336,0.673,689,345,340,0.10,57,1.56,,0.974,0.61,0.65,689,345,340,0.715,0.596,0.596,0.141,0.131,0.121,41.856,36.111,23102,28194,26070,1509,1982,,,,,,,,,0.28,0.30,0.28,,关,关,0,无公差
14.25,0.740,1.480,576,1094,396,0.65,386,5.69,,0.926,0.39,0.64,574,1094,395,1.431,0.954,0.954,0.326,0.232,0.190,44.033,25.748,22584,28245,26069,1508,9689,,,,,,,,,0.71,1.07,1.11,,关,关,0,无公差
14.24,0.443,0.886,661,488,121,0.22,129,2.64,,-19.896,0.60,0.66,661,488,122,0.954,0.715,0.715,0.181,0.177,0.153,40.758,34.488,22901,28241,26132,1508,3774,,,,,,,,,0.41,0.54,0.47,,关,关,0,无公差
14.24,0.368,0.735,628,822,240,0.10,57,1.62,,-24.529,0.46,0.63,629,821,240,0.477,0.715,0.715,0.156,0.131,0.112,42.560,30.347,22910,28222,25744,1507,11129,,,,,,,,,0.27,0.28,0.26,,关,关,0,无公差
14.23,1.131,2.262,331,808,159,0.85,504,7.79,,-10.434,0.14,0.56,331,808,157,1.431,1.669,1.312,0.443,0.235,0.199,39.172,17.612,21855,28233,26249,1507,10470,,,,,,,,,1.39,1.17,1.31,,关,关,0,无公差
14.22,0.620,1.239,1089,436,357,0.40,236,4.12,,1.609,0.40,0.64,1088,434,357,1.192,0.835,0.835,0.255,0.202,0.177,41.135,28.607,21937,28248,26311,1507,3384,,,,,,,,,0.58,0.70,0.75,,关,关,0,无公差
14.22,0.517,1.033,914,1096,123,0.32,189,3.53,,3.437,0.55,0.64,914,1096,123,0.954,0.954,0.835,0.221,0.187,0.173,42.852,33.537,22938,28240,26105,1507,9020,,,,,,,,,0.61,0.54,0.65,,关,关,0,无公差
14.21,0.886,1.773,252,632,85,0.45,266,5.09,,-2.915,0.15,0.56,253,631,84,0.954,1.669,0.954,0.371,0.190,0.154,41.877,17.423,22284,28249,26668,1506,6874,,,,,,,,,0.94,0.73,1.01,,关,关,0,无公差
14.21,0.896,1.792,1001,397,422,0.76,451,6.63,,0.084,0.25,0.61,999,395,423,1.669,1.312,0.715,0.418,0.256,0.172,46.702,19.148,21723,28246,26236,1506,3028,,,,,,,,,0.71,1.01,1.58,,关,关,0,无公差
14.20,0.522,1.043,943,929,243,0.27,158,3.16,,4.559,0.45,0.64,943,930,244,0.954,0.835,0.835,0.227,0.180,0.148,43.566,28.393,22558,28231,26158,1506,12720,,,,,,,,,0.53,0.60,0.54,,关,关,0,无公差
14.20,0.748,1.496,480,258,413,0.61,358,5.69,,0.245,0.35,0.61,481,258,413,1.431,0.954,1.073,0.316,0.232,0.184,42.284,24.615,22712,28251,26271,1506,981,,,,,,,,,0.75,1.12,0.97,,关,关,0,无公差
14.20,1.026,2.051,1099,773,249,0.83,489,7.88,,0.563,0.18,0.54,1099,774,246,0.954,1.550,1.908,0.506,0.230,0.186,49.377,18.090,22522,28242,25885,1506,9860,,,,,,,,,1.51,1.35,1.07,,关,关,0,无公差
14.20,0.511,1.023,328,392,209,0.30,176,3.36,,0.640,0.53,0.64,328,392,209,0.954,0.835,0.835,0.208,0.185,0.176,40.778,34.378,22516,28236,25978,1505,2757,,,,,,,,,0.50,0.58,0.60,,关,关,0,无公差
14.19,0.581,1.161,581,240,90,0.36,215,3.92,,-0.054,0.44,0.63,580,240,90,1.192,0.835,0.954,0.255,0.199,0.159,44.001,27.402,22832,28231,26111,1505,783,,,,,,,,,0.60,0.78,0.63,,关,关,0,无公差
14.19,0.566,1.131,1030,846,320,0.28,163,3.27,,0.120,0.36,0.63,1030,845,320,0.715,0.954,0.835,0.252,0.158,0.158,44.581,27.948,23192,28240,26183,1505,11715,,,,,,,,,0.61,0.47,0.55,,关,关,0,无公差
14.17,0.849,1.699,805,672,404,0.91,535,7.48,,-23.044,0.35,0.61,805,673,404,1.669,1.312,1.192,0.361,0.252,0.227,42.465,26.676,22390,28248,26514,1504,7991,,,,,,,,,1.11,1.32,1.39,,关,关,0,无公差
14.16,0.710,1.420,554,777,188,0.88,521,6.82,,-31.631,0.59,0.65,556,776,188,1.192,1.192,1.192,0.283,0.275,0.255,39.916,35.928,22841,28241,25731,1503,9829,,,,,,,,,1.14,1.17,1.11,,关,关,0,无公差
14.16,0.463,0.925,1085,438,263,0.23,135,2.82,,1.197,0.55,0.64,1085,438,263,0.954,0.835,0.835,0.189,0.183,0.150,40.805,32.386,22967,28240,26164,1503,3312,,,,,,,,,0.43,0.54,0.50,,关,关,0,无公差
14.15,0.691,1.382,571,1111,404,0.51,300,4.89,,-0.795,0.37,0.63,570,1111,403,1.431,0.775,0.954,0.293,0.207,0.189,42.478,27.339,22804,28251,26192,1503,10842,,,,,,,,,0.60,0.98,0.85,,关,关,0,无公差
14.15,0.666,1.332,378,1085,149,0.64,375,5.74,,1.767,0.51,0.62,379,1084,149,1.192,1.133,1.073,0.277,0.245,0.212,41.628,31.782,21866,28232,26027,1503,9111,,,,,,,,,0.92,0.91,1.01,,关,关,0,无公差
14.15,0.561,1.122,262,685,249,0.41,241,4.09,,-1.846,0.55,0.65,262,685,249,0.954,0.954,0.954,0.232,0.215,0.183,41.310,32.698,22820,28246,25905,1503,8509,,,,,,,,,0.70,0.70,0.65,,关,关,0,无公差
14.14,0.617,1.233,1204,892,308,0.51,298,4.66,,0.947,0.51,0.66,1204,892,308,0.954,1.073,1.073,0.257,0.215,0.204,41.659,33.005,22471,28239,26065,1503,12284,,,,,,,,,0.80,0.71,0.82,,关,关,0,无公差
14.14,0.648,1.295,332,1048,406,0.39,232,4.15,,-0.202,0.35,0.63,332,1048,406,1.192,0.954,0.835,0.292,0.181,0.169,45.017,26.068,22787,28239,26158,1502,8371,,,,,,,,,0.54,0.78,0.75,,关,关,0,无公差
14.13,0.615,1.230,858,565,98,0.37,218,4.04,,-11.648,0.38,0.62,859,565,98,1.192,0.954,0.954,0.271,0.185,0.166,44.118,26.983,22682,28249,26278,1502,5643,,,,,,,,,0.63,0.73,0.73,,关,关,0,无公差
14.12,0.543,1.086,1181,459,282,0.32,190,3.53,,0.369,0.48,0.64,1181,458,281,0.954,0.954,0.835,0.231,0.189,0.166,42.509,30.578,22906,28237,25941,1501,3857,,,,,,,,,0.58,0.64,0.68,,关,关,0,无公差
14.12,1.194,2.389,928,610,413,1.37,806,11.77,,-7.120,0.19,0.51,927,608,412,2.146,1.669,1.789,0.419,0.352,0.295,35.051,24.733,21869,28249,26791,1501,6625,,,,,,,,,1.92,1.99,1.79,,关,关,0,无公差
14.11,0.489,0.978,1287,597,172,0.21,124,2.76,,2.105,0.43,0.62,1286,597,172,0.715,0.954,0.835,0.209,0.184,0.134,42.794,27.445,23067,28236,25919,1501,6334,,,,,,,,,0.55,0.51,0.44,,关,关,0,无公差
14.11,0.458,0.916,1234,698,334,0.19,111,2.50,,2.509,0.47,0.63,1234,698,335,0.715,0.835,0.596,0.199,0.156,0.140,43.538,30.502,23249,28247,26176,1501,8553,,,,,,,,,0.43,0.36,0.47,,关,关,0,无公差
14.10,0.450,0.900,575,187,210,0.20,120,2.59,,3.352,0.53,0.65,576,187,210,0.954,0.715,0.715,0.190,0.160,0.152,42.315,33.799,22688,28243,26165,1501,393,,,,,,,,,0.41,0.50,0.50,,关,关,0,无公差
14.10,0.625,1.250,869,464,273,0.50,296,4.69,,-0.037,0.49,0.65,870,463,274,1.192,0.954,0.954,0.248,0.225,0.202,39.678,32.267,22216,28215,25797,1500,3853,,,,,,,,,0.70,0.78,0.87,,关,关,0,无公差
14.09,0.501,1.002,264,726,401,0.32,191,3.53,,1.674,0.61,0.65,264,726,401,0.954,0.835,0.954,0.205,0.197,0.178,41.008,35.478,22748,28240,25949,1500,9362,,,,,,,,,0.55,0.63,0.58,,关,关,0,无公差
14.09,0.595,1.190,275,831,250,0.47,279,4.61,,-0.292,0.54,0.64,276,831,249,1.192,0.954,0.954,0.253,0.210,0.199,42.557,33.461,22837,28250,26089,1499,11133,,,,,,,,,0.71,0.84,0.84,,关,关,0,无公差
14.07,0.737,1.474,913,589,352,0.76,449,6.43,,-6.099,0.45,0.63,913,588,354,1.431,1.073,1.192,0.271,0.266,0.239,36.811,32.412,21929,28207,25998,1499,6441,,,,,,,,,1.05,1.18,1.01,,关,关,0,无公差
14.07,0.671,1.342,1197,994,214,0.64,375,5.72,,1.158,0.50,0.63,1197,995,215,1.192,1.312,1.073,0.287,0.226,0.219,42.746,32.647,22572,28216,25964,1498,4564,,,,,,,,,1.00,0.92,1.05,,关,关,0,无公差
14.05,0.568,1.136,761,564,153,0.45,264,4.29,,-21.064,0.58,0.66,760,563,154,0.954,0.954,0.954,0.242,0.209,0.197,42.519,34.725,22568,28231,26175,1498,5707,,,,,,,,,0.72,0.75,0.68,,关,关,0,无公差
14.05,2.236,4.473,789,959,409,2.59,1528,20.36,,-7.667,0.06,0.45,799,952,409,4.054,3.339,1.550,1.164,0.296,0.238,52.037,10.655,22367,28251,26559,1497,3090,,,,,,,,,2.89,3.37,3.91,,关,关,0,无公差
14.03,1.021,2.041,1027,1102,421,0.99,586,8.10,,-0.477,0.22,0.59,1027,1102,421,1.908,1.490,0.954,0.459,0.253,0.201,44.990,19.679,21791,28237,26198,1497,9889,,,,,,,,,1.16,1.25,1.63,,关,关,0,无公差
14.03,0.590,1.180,598,148,154,0.41,242,4.12,,0.678,0.48,0.65,598,148,154,0.954,0.954,1.073,0.255,0.196,0.182,43.169,30.857,22835,28233,25905,1496,162,,,,,,,,,0.67,0.77,0.63,,关,关,0,无公差
14.02,0.562,1.125,916,678,62,0.16,93,2.45,,-7.777,0.21,0.58,917,679,62,0.954,0.954,0.358,0.245,0.189,0.084,43.607,14.916,22311,28239,26121,1496,7513,,,,,,,,,0.26,0.26,0.71,,关,关,0,无公差
14.01,0.710,1.419,1173,783,340,0.56,333,5.29,,-1.926,0.38,0.62,1173,783,340,0.954,1.192,1.192,0.297,0.239,0.181,41.919,25.563,22372,28249,26042,1496,10580,,,,,,,,,1.02,0.81,0.81,,关,关,0,无公差
14.00,0.513,1.026,1278,778,376,0.28,168,3.27,,0.278,0.50,0.64,1277,777,376,0.715,0.835,0.954,0.225,0.171,0.165,43.942,32.173,22995,28233,26263,1495,9963,,,,,,,,,0.58,0.57,0.48,,关,关,0,无公差
13.99,0.398,0.796,809,531,350,0.14,80,1.99,,-10.176,0.51,0.64,809,530,350,0.715,0.715,0.715,0.171,0.147,0.124,43.094,31.214,23326,28183,25956,1494,5194,,,,,,,,,0.33,0.41,0.36,,关,关,0,无公差
13.98,0.994,1.988,910,684,407,0.77,457,7.22,,-11.345,0.19,0.56,910,685,406,1.908,1.192,1.192,0.421,0.254,0.174,42.306,17.506,21821,28250,26555,1494,8708,,,,,,,,,0.97,1.42,1.32,,关,关,0,无公差
13.98,0.641,1.282,261,556,144,0.45,264,4.61,,-1.258,0.41,0.61,262,556,143,0.954,1.073,1.073,0.274,0.214,0.179,42.790,27.869,22270,28249,26266,1494,5699,,,,,,,,,0.84,0.68,0.78,,关,关,0,无公差
13.97,0.473,0.947,475,259,253,0.27,158,3.07,,2.343,0.60,0.65,475,259,252,0.954,0.835,0.715,0.205,0.183,0.160,43.190,33.744,23181,28194,25978,1494,863,,,,,,,,,0.50,0.53,0.61,,关,关,0,无公差
13.95,0.667,1.334,998,1167,215,0.66,391,5.83,,0.206,0.53,0.63,998,1168,214,1.192,1.192,1.073,0.273,0.241,0.227,40.920,33.976,22809,28246,26056,1492,11510,,,,,,,,,1.00,0.92,0.97,,关,关,0,无公差
13.95,0.619,1.237,969,938,356,0.52,307,4.83,,2.355,0.52,0.65,970,938,357,1.192,0.954,1.073,0.256,0.224,0.206,41.408,33.270,22704,28242,25979,1492,12777,,,,,,,,,0.77,0.90,0.88,,关,关,0,无公差
13.94,0.604,1.208,840,714,65,0.40,238,4.12,,-16.797,0.44,0.64,840,714,63,1.192,0.954,0.954,0.231,0.209,0.201,38.242,33.308,22857,28237,26419,1492,8225,,,,,,,,,0.67,0.70,0.75,,关,关,0,无公差
13.93,1.077,2.154,396,436,353,0.82,485,7.71,,1.153,0.16,0.55,395,439,354,1.431,1.789,1.431,0.503,0.219,0.189,46.704,17.556,22543,28249,26014,1491,3375,,,,,,,,,1.34,1.14,1.41,,关,关,0,无公差
13.93,0.766,1.533,1043,987,376,0.85,500,6.82,,-0.510,0.45,0.63,1043,986,376,1.431,1.192,1.073,0.336,0.256,0.223,43.787,29.061,22365,28250,26152,1491,4811,,,,,,,,,1.09,1.14,1.18,,关,关,0,无公差
13.92,0.562,1.125,447,268,206,0.41,240,4.01,,0.851,0.55,0.66,447,268,206,0.954,0.835,1.073,0.231,0.204,0.191,41.061,34.044,22419,28244,25942,1491,1168,,,,,,,,,0.68,0.70,0.63,,关,关,0,无公差
13.91,0.569,1.137,920,700,366,0.32,186,3.58,,-9.098,0.41,0.63,921,700,366,0.954,0.715,1.073,0.249,0.188,0.153,43.863,26.882,22950,28241,26125,1490,8590,,,,,,,,,0.58,0.73,0.48,,关,关,0,无公差
13.91,0.581,1.162,479,1216,374,0.48,283,4.49,,0.514,0.58,0.66,479,1216,374,1.192,0.954,0.954,0.248,0.208,0.205,42.713,35.297,23032,28155,25993,1490,4783,,,,,,,,,0.70,0.82,0.81,,关,关,0,无公差
13.89,0.770,1.540,291,534,259,0.94,553,7.39,,-0.578,0.49,0.63,289,534,258,1.192,1.431,1.312,0.297,0.286,0.252,38.561,32.764,22301,28250,26122,1489,5117,,,,,,,,,1.29,1.17,1.22,,关,关,0,无公差
13.89,0.599,1.198,1032,1127,203,0.40,235,4.27,,1.921,0.44,0.61,1031,1127,205,0.954,1.073,0.954,0.252,0.199,0.188,42.057,31.395,22304,28239,26276,1489,10360,,,,,,,,,0.78,0.65,0.70,,关,关,0,无公差
13.88,0.500,1.000,224,372,137,0.25,147,3.04,,2.128,0.48,0.63,224,371,137,0.715,0.835,0.954,0.211,0.172,0.157,42.226,31.449,22631,28245,26332,1488,2296,,,,,,,,,0.54,0.47,0.51,,关,关,0,无公差
13.87,0.998,1.997,723,984,67,0.81,477,7.51,,-8.244,0.19,0.56,723,982,64,1.908,1.073,1.073,0.442,0.244,0.200,44.287,19.987,22451,28250,26639,1488,3689,,,,,,,,,0.82,1.34,1.46,,关,关,0,无公差
13.87,0.625,1.250,1002,767,302,0.53,311,4.83,,2.123,0.52,0.65,1003,768,301,1.192,0.954,0.835,0.262,0.225,0.202,41.901,32.280,22610,28191,26092,1488,9896,,,,,,,,,0.71,0.80,0.88,,关,关,0,无公差
13.87,0.908,1.817,266,308,62,0.59,349,6.06,,0.428,0.19,0.56,266,307,62,1.431,1.669,0.715,0.396,0.263,0.149,43.583,16.454,21758,28250,26629,1488,1366,,,,,,,,,0.71,0.77,1.55,,关,关,0,无公差
13.87,0.542,1.083,368,536,142,0.38,227,4.04,,-11.416,0.58,0.63,369,537,141,0.954,0.954,0.835,0.230,0.204,0.187,42.460,34.482,22752,28213,26223,1488,5049,,,,,,,,,0.71,0.61,0.70,,关,关,0,无公差
13.87,0.625,1.251,710,128,133,0.39,230,4.01,,0.341,0.38,0.64,709,127,134,1.192,0.835,0.835,0.274,0.185,0.170,43.870,27.136,22740,28227,26131,1488,41,,,,,,,,,0.54,0.77,0.70,,关,关,0,无公差
13.86,1.019,2.037,914,950,414,1.06,628,9.07,,0.103,0.24,0.56,912,951,415,1.908,1.192,1.431,0.425,0.293,0.222,41.699,21.759,22437,28250,26405,1488,3188,,,,,,,,,1.35,1.82,1.42,,关,关,0,无公差
13.86,0.608,1.217,463,493,120,0.47,279,4.69,,-16.107,0.50,0.63,463,494,121,0.954,1.073,1.073,0.248,0.220,0.200,40.703,32.944,22729,28235,26303,1487,4364,,,,,,,,,0.80,0.78,0.77,,关,关,0,无公差
13.86,0.796,1.592,755,1271,63,0.46,271,4.64,,2.747,0.22,0.62,757,1271,63,1.669,0.954,0.596,0.378,0.210,0.138,47.554,17.312,23074,28247,26155,1487,10397,,,,,,,,,0.41,0.84,1.18,,关,关,0,无公差
13.86,0.578,1.157,477,998,406,0.35,207,3.70,,0.295,0.43,0.65,478,998,406,1.192,0.835,0.835,0.252,0.189,0.164,43.575,28.309,22749,28248,26120,1487,5038,,,,,,,,,0.50,0.75,0.70,,关,关,0,无公差
13.85,0.599,1.198,389,737,99,0.36,211,4.01,,-19.182,0.40,0.61,389,737,99,1.192,0.715,1.073,0.257,0.223,0.144,42.926,23.980,22939,28251,26325,1487,9069,,,,,,,,,0.57,0.92,0.61,,关,关,0,无公差
13.85,0.578,1.156,229,1037,334,0.44,260,4.27,,0.727,0.54,0.66,230,1037,333,0.954,1.014,0.954,0.249,0.204,0.191,42.997,33.107,22903,28198,25978,1487,6585,,,,,,,,,0.72,0.63,0.74,,关,关,0,无公差
13.84,0.502,1.004,1042,484,100,0.28,167,3.21,,1.448,0.53,0.65,1042,485,100,0.954,0.835,0.835,0.211,0.184,0.163,42.078,32.467,22834,28230,26027,1486,3744,,,,,,,,,0.53,0.58,0.50,,关,关,0,无公差
13.84,0.587,1.175,693,281,80,0.38,227,3.98,,0.361,0.45,0.64,693,282,81,1.192,0.954,0.835,0.271,0.192,0.166,46.088,28.345,22763,28238,26297,1486,1063,,,,,,,,,0.63,0.77,0.68,,关,关,0,无公差
13.83,1.452,2.904,1206,698,422,1.05,619,9.47,,1.289,0.08,0.53,1205,700,422,2.623,1.669,0.835,0.599,0.267,0.174,41.244,12.019,21993,28244,26370,1486,8841,,,,,,,,,1.00,1.51,2.18,,关,关,0,无公差
13.83,0.605,1.210,973,620,315,0.47,275,4.69,,0.254,0.50,0.62,973,620,315,0.954,1.073,1.073,0.259,0.217,0.190,42.762,31.363,22547,28239,26061,1486,7084,,,,,,,,,0.80,0.78,0.75,,关,关,0,无公差
13.82,0.632,1.263,1157,1011,285,0.51,301,4.83,,0.704,0.48,0.64,1158,1009,286,1.192,1.073,0.954,0.277,0.210,0.198,43.908,31.323,22228,28226,25815,1485,6461,,,,,,,,,0.80,0.82,0.88,,关,关,0,无公差
13.82,0.478,0.957,466,343,235,0.24,141,2.87,,0.610,0.52,0.65,465,343,235,0.715,0.835,0.835,0.202,0.179,0.150,42.319,31.444,22711,28245,26228,1485,1913,,,,,,,,,0.51,0.45,0.47,,关,关,0,无公差
13.82,0.529,1.058,675,135,208,0.31,182,3.36,,1.040,0.50,0.66,676,135,208,0.715,0.835,0.954,0.221,0.196,0.162,41.778,30.650,22754,28198,25965,1485,177,,,,,,,,,0.65,0.55,0.47,,关,关,0,无公差
13.81,0.591,1.181,1018,590,382,0.38,225,3.87,,-1.326,0.44,0.66,1018,589,382,0.715,0.954,1.073,0.240,0.223,0.159,40.702,26.969,22399,28248,26324,1485,6498,,,,,,,,,0.80,0.57,0.57,,关,关,0,无公差
13.81,0.878,1.757,781,660,70,0.49,291,5.43,,-23.633,0.17,0.56,781,660,70,1.431,1.073,1.312,0.402,0.178,0.156,45.794,17.806,21793,28244,26465,1485,7535,,,,,,,,,0.84,0.97,0.91,,关,关,0,无公差
13.80,1.836,3.672,739,897,68,2.92,1720,24.34,,-17.323,0.11,0.41,742,893,76,3.100,2.862,2.266,0.711,0.577,0.382,38.702,20.807,20416,28250,26654,1484,12030,,,,,,,,,3.14,3.85,3.82,,关,关,0,无公差
13.79,0.625,1.251,988,1154,131,0.42,250,4.27,,-0.539,0.41,0.64,988,1154,131,1.192,0.954,0.835,0.273,0.200,0.172,43.589,27.485,22564,28241,26222,1484,11394,,,,,,,,,0.65,0.81,0.80,,关,关,0,无公差
13.79,0.674,1.348,996,669,398,0.68,400,5.86,,-4.332,0.53,0.64,995,669,398,1.192,1.192,1.192,0.278,0.262,0.209,41.185,30.985,22759,28250,26307,1483,7969,,,,,,,,,1.05,0.95,1.01,,关,关,0,无公差
13.78,0.445,0.889,245,1078,96,0.21,126,2.76,,1.750,0.58,0.63,245,1078,97,0.715,0.775,0.715,0.179,0.167,0.163,40.177,36.605,22900,28223,26081,1483,8944,,,,,,,,,0.45,0.45,0.46,,关,关,0,无公差
13.78,0.561,1.122,754,637,114,0.36,214,3.87,,-26.552,0.49,0.64,754,638,114,1.192,0.954,0.835,0.238,0.199,0.173,42.403,30.767,22816,28250,26231,1483,6947,,,,,,,,,0.60,0.67,0.74,,关,关,0,无公差
13.77,0.513,1.026,910,566,84,0.30,178,3.24,,-5.868,0.53,0.67,910,566,84,0.954,0.835,0.835,0.227,0.177,0.167,44.200,32.522,22856,28203,26230,1483,5604,,,,,,,,,0.51,0.63,0.60,,关,关,0,无公差
13.77,0.637,1.274,283,819,90,0.54,320,5.18,,-4.262,0.50,0.62,283,820,90,1.192,1.192,0.954,0.261,0.233,0.203,40.972,31.935,22744,28239,26039,1483,11002,,,,,,,,,0.80,0.82,0.95,,关,关,0,无公差
13.77,0.598,1.196,728,290,75,0.39,228,4.04,,0.925,0.43,0.64,728,290,75,0.954,0.835,1.073,0.253,0.204,0.170,42.369,28.464,22556,28225,26304,1482,1053,,,,,,,,,0.68,0.74,0.60,,关,关,0,无公差
13.76,0.581,1.162,330,670,228,0.50,292,4.52,,-10.265,0.60,0.67,330,669,229,0.954,0.954,0.954,0.243,0.228,0.197,41.908,33.994,22644,28249,26279,1482,7783,,,,,,,,,0.73,0.80,0.74,,关,关,0,无公差
13.76,0.618,1.237,960,843,120,0.53,312,4.92,,0.058,0.53,0.64,960,843,119,1.192,0.954,1.073,0.256,0.221,0.209,41.368,33.763,22938,28245,26241,1482,11065,,,,,,,,,0.77,0.88,0.92,,关,关,0,无公差
13.76,0.919,1.839,463,795,401,0.47,277,5.46,,-9.856,0.14,0.54,459,793,401,1.669,1.192,0.954,0.390,0.191,0.186,42.449,20.239,23004,28207,26439,1482,10663,,,,,,,,,0.74,0.88,1.04,,关,关,0,无公差
13.76,0.894,1.789,1131,1062,101,0.88,522,7.28,,-0.831,0.30,0.61,1131,1062,103,1.669,1.073,1.192,0.379,0.259,0.204,42.373,22.862,22677,28242,26081,1482,7582,,,,,,,,,0.98,1.44,1.22,,关,关,0,无公差
13.75,1.174,2.347,321,391,69,0.87,511,9.58,,0.029,0.13,0.46,325,393,73,1.669,1.908,1.908,0.552,0.331,0.223,47.038,18.984,22108,28247,26827,1482,2167,,,,,,,,,1.59,1.52,1.55,,关,关,0,无公差
13.74,0.614,1.228,339,322,206,0.31,182,3.53,,0.246,0.32,0.63,340,321,205,0.954,1.073,0.835,0.256,0.179,0.157,41.707,25.534,22848,28180,26046,1481,1522,,,,,,,,,0.63,0.54,0.68,,关,关,0,无公差
13.74,0.650,1.299,805,241,203,0.59,350,5.29,,1.943,0.52,0.65,806,240,204,0.954,1.073,1.192,0.283,0.236,0.198,43.595,30.544,23107,28249,25949,1481,846,,,,,,,,,0.95,0.85,0.84,,关,关,0,无公差
13.73,0.625,1.251,1068,405,192,0.55,325,4.95,,2.144,0.54,0.66,1069,405,192,0.954,0.954,1.192,0.253,0.232,0.207,40.428,33.105,22449,28251,25671,1481,2746,,,,,,,,,0.85,0.88,0.74,,关,关,0,无公差
13.71,0.581,1.162,326,438,420,0.40,237,4.01,,1.161,0.49,0.66,326,438,421,1.192,0.954,0.835,0.258,0.195,0.178,44.407,30.680,22796,28242,26209,1479,3575,,,,,,,,,0.58,0.74,0.78,,关,关,0,无公差
13.71,0.645,1.290,664,218,368,0.50,292,4.81,,0.054,0.44,0.63,665,218,367,1.192,0.954,0.954,0.261,0.217,0.197,40.407,30.551,22742,28247,26224,1479,689,,,,,,,,,0.74,0.85,0.81,,关,关,0,无公差
